siteID,year,a0c0,ac0,a0n0,an0,bc0,bn0,soilresp,biomassC,C_into_A0,net_C_into_A0,net_prim_prodC,biomassN,N_into_A0,net_N_into_A0,net_prim_prodN,avail_n
0,76,3.39262,120.159,0.954492E-01,2.82052,9.12263,0.136045E-01,6.63973,87.6002,6.55167,0.296116,1.66875,0.195006,0.913596E-01,0.00000,0.950799E-01,0.788371E-01
0,77,3.22101,120.566,0.940401E-01,2.82390,9.23469,0.136045E-01,6.69656,89.3569,7.04488,0.559989,1.31142,0.198922,0.935541E-01,0.00000,0.964773E-01,0.769823E-01
0,78,3.79551,121.034,0.975982E-01,2.82931,9.34024,0.136045E-01,6.80999,90.5030,7.95734,0.807747,0.243477,0.201477,0.958060E-01,0.00000,0.963520E-01,0.720074E-01
0,79,3.26266,121.474,0.942306E-01,2.83406,9.45108,0.136045E-01,6.71966,90.3585,6.73801,0.877376,1.01961,0.201159,0.918371E-01,0.00000,0.941049E-01,0.737084E-01
0,80,3.77879,121.864,0.970473E-01,2.83822,9.55889,0.136045E-01,6.81428,91.5578,7.82833,0.478947,0.105486,0.203828,0.941741E-01,0.00000,0.944156E-01,0.736085E-01
0,81,3.80607,122.254,0.989992E-01,2.84126,9.66512,0.136045E-01,6.65456,91.6452,7.17783,0.612332,0.713068,0.204029,0.921678E-01,0.00000,0.937537E-01,0.740727E-01
0,82,2.80980,122.594,0.916981E-01,2.84579,9.78249,0.136045E-01,6.58040,92.3776,6.04186,0.512266,1.85734,0.205659,0.893854E-01,0.00000,0.935210E-01,0.800448E-01
0,83,3.39172,122.909,0.947197E-01,2.85038,9.89305,0.136045E-01,6.58399,94.6391,7.59114,0.372031,0.761514,0.210693,0.939517E-01,0.00000,0.956544E-01,0.760792E-01
0,84,3.38033,123.295,0.918482E-01,2.85678,10.0083,0.136045E-01,7.13488,95.0149,7.62522,0.932449,0.334618,0.211539,0.938615E-01,0.00000,0.946137E-01,0.758651E-01
0,85,2.95897,123.538,0.892815E-01,2.86193,10.1254,0.136045E-01,6.65939,95.3292,6.59797,0.673300,1.30553,0.212246,0.907638E-01,0.00000,0.936664E-01,0.798220E-01
